카테고리,기업명(중문),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
portfolio_company,,1Robot,1Robot,,"1 robot 로봇 1대, iRobot","autonomous robots, robotics, manufacturing robot, defense robot, Physical AI, 自主機器人, 機器人","1Robot uses specialized AI models, proprietary data, and unique supply chain access to build and deploy autonomous robots for manufacturing and defense.",B,Live
portfolio_company,幣護,Aegis Custody,幣護,"Serra Wei FinTech, Aegis Custody, 幣護股份有限公司, AEGIS CUSTODY CO., LTD.",,"Serra Wei, digital asset custody, blockchain, crypto custody, OTC, 幣護, 數位資產, 區塊鏈, 託管","Aegis Custody is a blockchain financial services company providing secure and user-friendly solutions for trading, managing and protecting digital assets for financial institutions and enterprises.",B,Live
portfolio_company,,AgentX,AgentX,,"Agent X 마블, Agent-X comic","multi-agent, AI agent, agent orchestration, workflow engine, enterprise AI, AI 代理, 多代理",AgentX is building enterprise-grade multi-agent orchestration infrastructure that helps companies operate smarter with AI-powered workforces.,B,Live
portfolio_company,睿加科技,AIPLUX,睿加科技,"Alfred Wu Legal Tech, 吳鵬君, AIPLUX, 睿加科技股份有限公司",,"Alfred Wu, trademark, patent, intellectual property, IP management, 睿加科技, 商標, 專利, 智慧財產","AIPLUX is a one-stop management system tailored for startups to create, manage and commercialize intellectual property.",A,Live
portfolio_company,艾知科技,AiSeed,艾知科技,"Joe Wang AI, 王宗源, AiSeed, 艾知科技股份有限公司",,"Joe Wang, drone, UAV, surveillance drone, Edge AI, defense, 艾知科技, 無人機","AiSeed pioneers high-performance drones with AI technology, ensuring reliability and top-tier quality for critical public safety and defense operations.",B,Live
portfolio_company,,Alpha Fintech,Alpha Fintech,Serena Yang AI,"Alpha Fintech Mastercard, Alpha Payments Cloud","Serena Yang, robo-advisory, wealth management, Alpha Engine, FSC licensed, 機器人理財, 財富管理",Alpha Fintech delivers AI-powered robo-advisory for wealth management.,C,Live
portfolio_company,驚奇學習,AmazingTalker,驚奇學習,"Abner Chao EdTech, 趙捷平, AmazingTalker, 香港商驚奇學習有限公司, AmazingTalker Limited",,"Abner Chao, online tutoring, language learning, tutor marketplace, EdTech, 驚奇學習, 線上家教, 語言學習",AmazingTalker aims to democratize tutoring by creating a platform where tutors can start their own online education business effortlessly and learners can find the suitable tutor easily.,A,Live
portfolio_company,,Anvil Robotics,Anvil Robotics,,"Anvil Foundry, Anvil Ethereum, Anvil 대장간","Physical AI, robotics platform, robot deployment, actuation, 機器人平台","Anvil makes it easy to build, deploy, and scale Physical AI applications, much like how AWS makes it easy to build web products.",C,Live
portfolio_company,,Audio Number,Audio Number,,"audio 오디오 번호, phone number","music rights, royalties, music publishing, metadata matching, catalog, Interline Media, 音樂版權, 版稅","AudioNumber Inc. is a music rights technology company that identifies where royalties are being lost, values catalogs, and provides the operational platform for acting on that intelligence.",C,Live
portfolio_company,阿物科技,Awoo,阿物科技,"Mike Lin MarTech, Awoo, 阿物科技股份有限公司, awoo intelligence, Inc.","awoo 밈, awoo 늑대","Mike Lin, MarTech, product data platform, OMO, marketing automation, SEO, 阿物科技, 行銷科技",awoo Intelligence is devoted to building an AI-empowered Product Data Platform which helps clients to discover consumer intent and bring hyper personalized shopping experience.,A,Live
portfolio_company,寶貝友,Baby Baby Cool,寶貝友,"Erin Wei Fashion & Apparel, Baby Baby Cool, 寶貝友股份有限公司, BABY BABY COOL, LTD.",baby cool 유아용품,"Erin Wei, organic cotton, children clothing, kidswear, 寶貝友, 有機棉, 童裝","baby baby cool is a children’s clothing brand signaturing 100% organic cotton certified with the highest standard and aims to create toxic-free, comfortable and aesthetically appealing products.",C,Live
portfolio_company,雲飛傳媒,BayPay,雲飛傳媒,"Scofield Yeh FinTech, 葉中庸, BayPay, 雲飛傳媒股份有限公司",,"Scofield Yeh, crypto payment, blockchain payment, HSM, POS, 雲飛傳媒, 區塊鏈支付, 加密貨幣","BayPay is a blockchain payment service provider that uses hardware security modules to enable businesses to accept crypto payments from customers, then easily convert it into local currency.",A,Live
portfolio_company,品辰科技物流,BBTruck,品辰科技物流,"Steven Chou Smart Logistics, 許玄, BBTruck, 品辰科技物流股份有限公司",,"Steven Chou, truck logistics, capacity matching, TMS, freight, 品辰科技物流, 智慧物流, 貨車","BBTruck operates a logistics capacity matching platform focusing on trucks, utilizing the idle capacity and improving service efficiency.",A,Live
portfolio_company,易開科技,Canner,易開科技,"Howard Chi Big data, 紀力榮, Canner, 易開科技股份有限公司","canner 통조림, canning","Howard Chi, virtual data warehouse, CannerFlow, data silos, ELT, 易開科技, 數據中台","Canner developed a Cloud-Native cross-database virtual database, the simplest way to connect data silos, and transform into business impact, without messing with your data.",C,Live
portfolio_company,科淨能源,CarbonClean Energy,科淨能源,"Emma Lin Clean Tech, 林依蓉, CarbonClean Energy, 科淨能源股份有限公司",,"Emma Lin, carbon capture, CCU, CO2 conversion, electrolysis, 科淨能源, 碳捕捉, 碳轉化",CarbonClean Energy transforms CO2 emissions into valuable chemicals and fuels using advanced carbon conversion technology for industrial applications.,B,Live
portfolio_company,,Cocomelody,Cocomelody,Landy Peng Fashion & Apparel,"Cocomelon, 코코멜론","Landy Peng, wedding dress, bridal, made-to-order gown, omnichannel, 婚紗, 新娘","Cocomelody is a global brand transforming the way brides shop their wedding dress by offering an omnichannel retail experience to quickly find personalized, affordable, and tailored-to-fit dresses.",A,Live
portfolio_company,客樂加,Colega AI,客樂加,"Eric Fung AI, Colega AI, 客樂加有限公司, Colega AI Technologies Ltd.",,"Eric Fung, social media automation, LINE, AI 小編, Google reviews, 客樂加, 社群媒體","Colega AI automates social media for F&B businesses by handling content generation, post scheduling, performance tracking, and Google reviews—all within the LINE app.",B,Live
portfolio_company,渴望智能販賣機,Crave Robotics,渴望智能販賣機,"Paul Chen Food & Beverage, 陳柏烟, Crave Robotics, 美商渴望智能販賣機股份有限公司","Crave 잡지, CraveTV, Crave 커피","Paul Chen, smart vending, ready-to-eat, hotel vending, 渴望智能販賣機, 自動販賣機, 即食",Crave Robotics provides smart vending machine for ready-to-eat meals under 3 minutes.,C,Live
portfolio_company,點譜數位,Dipp,點譜數位,"Jennifer Chen MarTech, Dipp, 點譜數位有限公司","dip 소스, dipping sauce, DIP 스위치","Jennifer Chen, visual automation, e-commerce creative, product listing, SaaS, 點譜數位, AI 美編, 電商",dipp offers a SaaS service enabling e-commerce brands to launch products swiftly and effortlessly by automating visual creation and display across multiple sales channels.,B,Live
portfolio_company,百林商智,EMILY.RPA,百林商智,"Jerry Tseng RPA, 曾詠超, EMILY.RPA, 百林商智股份有限公司",,"Jerry Tseng, RPA, robotic process automation, browser automation, 百林商智, 流程自動化, 機器人流程","EMILY.RPA is a browser-based, cross-platform software robot to help office workers off-load everyday repetitive tasks.",A,Live
portfolio_company,易安聯,EMQ,易安聯,"Max Liu FinTech, EMQ, 香港商易安聯股份有限公司, EMQ Limited","EMQX, EMQ Technologies, MQTT broker","Max Liu, cross-border payment, remittance, settlement network, 易安聯, 跨境支付, 結算","EMQ operates a global financial settlement network that enables businesses and individuals to access real-time, affordable, and efficient cross-border payments with a simple one-stop integration.",C,Live
portfolio_company,,EVO,EVO,Roy Ang Beauty & Wellness,"EVO Japan, Evolution Gaming, Evonik, EVO 격투게임","Roy Ang, supplements, hair care, direct-to-consumer, DTC brand, 保健品, 美髮",EVO is a direct to consumer company selling high quality supplements and hair products globally.,C,Live
portfolio_company,富比庫,Footprintku,富比庫,"YC Hwang Electronics, Footprintku, 富比庫股份有限公司",,"YC Hwang, electronic components, spec sheet digitization, CAD library, 富比庫, 電子零件, 數位化",Footprintku is the world‘s first company to use AI technology for electronic components spec sheet digitization.,A,Live
portfolio_company,福客斯資訊,FOX-TECH,福客斯資訊,"Sonic Wang AgriTech, 王禹盛, FOX-TECH, 福客斯資訊股份有限公司",,"Sonic Wang, IoT sensor, temperature monitoring, cold chain, LPWAN, 福客斯資訊, 冷鏈, 溫濕度","FOX-TECH is an IoT solution maker for agriculture, farming, logistics, cold chain, and manufacturing owners to monitor, track, and improve their operation by detecting temperature wirelessly.",A,Live
portfolio_company,曙客,FunNow,曙客,"TK Chen Lifestyle, 陳庭寬, FunNow, 曙客股份有限公司",,"TK Chen, instant booking, lifestyle app, last-minute reservation, 曙客, 即時預訂, 吃喝玩樂","FunNow is a lifestyle app for fun seekers to book last-minute activities in megacities. Using geolocation, FunNow allows consumers to instantly search and book fun activities nearby.",A,Live
portfolio_company,基因線上,GeneOnline,基因線上,"Thomas Huang Information, 黃富楠, GeneOnline, 基因線上股份有限公司",,"Thomas Huang, biotech media, BioNest, life science database, 基因線上, 生技, 生醫",GeneOnline Media and its BioNest database service are dedicated to accelerating connections between life science and startup companies by bridging cross-border funding and cooperation opportunities.,A,Live
portfolio_company,,Glassbox Technology,Glassbox Technology,Norman Wang VR & AR,"Glassbox Ltd, Glassbox Digital, 글래스박스 애널리틱스","Norman Wang, virtual production, game engine, Unreal Engine, VFX, 虛擬製作, 遊戲引擎",Glassbox designs next-generation software toolsets that enable content creators globally to harness the power of game engines and virtual production to create immersive content efficiently.,C,Live
portfolio_company,集雅科技,GliaCloud,集雅科技,"David Chen MarTech, GliaCloud, 集雅科技股份有限公司, GLIACLOUD CO.,LTD.",,"David Chen, text to video, AI video generation, GliaStudio, 集雅科技, 影音生成, 短影片",GliaCloud is an AI technology company dedicated to empowering the media and advertising industries with the ability to turn stories into fascinating and compelling videos at scale.,A,Live
portfolio_company,,Glober AI,Glober AI,Chris Yang AI,"Globant, 글로반트","Chris Yang, content localization, ad translation, SEO localization, 在地化, 翻譯","Glober AI provides an AI-driven platform for fast, culturally precise, and SEO-optimized ad translations to help businesses expand globally.",B,Live
portfolio_company,圖睿科技,GRAID Technology,圖睿科技,"Leander Yu Storage, 游宗霖, GRAID Technology, 圖睿科技有限公司",,"Leander Yu, NVMe RAID, SSD, SupremeRAID, storage, NVMeoF, 圖睿科技, 資料保護",GRAID Technology has developed a disruptive software and hardware solution that can unlock the performance bottleneck of RAID protection for SSDs.,A,Live
portfolio_company,永悅健康,H2U,永悅健康,"Saxon Chen Healthcare, H2U, 永悅健康股份有限公司, H2U Corporation","H2O, 수소, H2 연료, H2 receptor","Saxon Chen, workplace health, employee wellness, 早安健康, 運動筆記, 永悅健康, 健檢",A workplace health service platform that offers the most diverse and optimized health benefit programs.,C,Live
portfolio_company,裝修佬,HKDECOMAN,裝修佬,"Benny Liu Renovation, HKDECOMAN, 香港商裝修佬發展有限公司, Decoman Development Limited",,"Benny Liu, renovation platform, home renovation, O2O, 裝修佬, 裝修","HKDECOMAN operates a fast-growing one-stop O2O renovation platform which brings standardization, transparency, and convenience to the industry.",A,Live
portfolio_company,艾聚普,IDrip,艾聚普,"John Yeh Food & Beverage, 葉建漢, IDrip, 艾聚普股份有限公司","IV drip, 링거, 수액","John Yeh, smart coffee machine, pour-over, barista, IoT coffee, 艾聚普, 智能咖啡機, 手沖",iDrip is an IoT coffee maker with a coffee device capable of replicating the brewing techniques of world champion baristas for coffee lovers to enjoy the best tasting coffee anywhere and anytime.,A,Live
portfolio_company,數位無限軟體,InfinitiesSoft,數位無限軟體,"Wenyu Chen AI Infrastructure, 陳文裕, InfinitiesSoft, 數位無限軟體股份有限公司",,"Wenyu Chen, AI-Stack, GPU orchestration, MLOps, AI infrastructure, 數位無限軟體, GPU",InfinitiesSoft Solutions is a leading software provider developing the infrastructural platforms for Machine Learning / Deep Learning computing.,A,Live
portfolio_company,圈圈科技,Influenxio,圈圈科技,"Allan Ko MarTech, Influenxio, 圈圈科技有限公司, Influenxio Limited",,"Allan Ko, influencer marketing, micro influencer, KOL, 圈圈科技, 網紅行銷, 微網紅",Influenxio is a disruptive influencer marketing platform for small businesses to drive sales by increasing word of mouth volume across social media.,A,Live
portfolio_company,智能基因,InFocus Therapeutics,智能基因,"InFocus Therapeutics, 智能基因股份有限公司, InFocus Therapeutics (Taiwan) Co., Ltd.",,"RNA-targeting, molecular glue, drug discovery, oncology, 智能基因, 新藥, RNA",InFocus Therapeutics is an AI-driven drug discovery company pioneering best-in-class RNA-targeting molecular glues to unlock new chemical space for transcriptional modulation and address diseases with high unmet need.,A,Live
portfolio_company,,Jmem tek,Jmem tek,John Chang Semiconductor,,"John Chang, hardware security, MSOTP, OTP memory, chip security, 矽智財, 晶片安全","Jmem tek offers hardware security IP to protect customers from hacking. Their flagship technology MSOTP prevents chip reverse engineering, while also reducing the chip's size and energy consumption.",A,Live
