카테고리,기업명(한글),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
portfolio_company,큐레이터,,큐레이터,,,,,C,Written-off
portfolio_company,카브,,카브,,,,,C,Written-off
portfolio_company,한글회사,,한글회사,,,,,C,Written-off
portfolio_company,스타카드,,스타카드,,,,,C,Written-off
portfolio_company,인피니트아워글래스,,인피니트아워글래스,,,,,C,Written-off
portfolio_company,프리트너스,,프리트너스,,,,,C,Written-off
portfolio_company,핀솜,,핀솜,,,,,C,Written-off
portfolio_company,원데이원송,1Day1Song,원데이원송,주현규 음악추천,N/A,N/A,"전문가의 휴먼 큐레이션과 ICT 기술을 결합하여, 날씨나 기분 등 그날의 분위기에 맞는 숨은 명곡을 엄선해 소개하는 음악 추천 플랫폼",A,Written-off
portfolio_company,에이티에잇라이징,88rising,에이티에잇라이징,숀미야시로 음악레이블,N/A,N/A,아시아계 음악과 문화를 전 세계 주류 시장에 전파하는 글로벌 미디어·엔터테인먼트,A,Written-off
portfolio_company,아블라,Ablar,아블라,,,,,C,Exit
portfolio_company,아부하킴,AbuHakim,아부하킴,유덕영 중동이커머스,N/A,N/A,중동 아랍권 전문 이커머스. K뷰티 등 한국 상품 중동 수출·현지 배송 플랫폼,A,Written-off
portfolio_company,에이비제트,AB-Z,에이비제트,최하림 인플루언서커머스,N/A,N/A,인플루언서-브랜드 중개 커머스 인프라. 커머스 솔루션 '인포크' 및 판매채널 통합 솔루션 '인포크링크' 운영,A,Live
portfolio_company,에큐리바이오,Accuriebio,에큐리바이오,신수안 항암제,N/A,N/A,엔지니어링 파아지 플랫폼 (enPhaG)을 기반으로 고형암 및 감염병 치료제 개발. 인간 유전체 분석과 AI 기술 결합,A,Live
portfolio_company,애드바이미,Adbyme,애드바이미,김재홍 소셜광고,N/A,N/A,국내 최초의 '사용자 참여형 소셜 광고 플랫폼',A,Live
portfolio_company,에어로케이홀딩스,Aero K Holdings,에어로케이홀딩스,강병호 저비용항공,N/A,N/A,청주국제공항을 허브로 둔 저비용 항공사(LCC) '에어로케이항공',A,Live
portfolio_company,에이임팩트,A-Impact,에이임팩트,윤성진 농산물직거래,N/A,N/A,농산물 주문정보 자동정리 앱 '어레인지' 운영. SNS 주문 텍스트마이닝 기반 농가-바이어 매칭,A,Written-off
portfolio_company,에이보랩스,AIVE LABS,에이보랩스,이동훈 에듀테크,N/A,N/A,"AI 에듀테크 기업 (스파크랩 투자, 상세 사업내용 추가 확인 필요)",A,Live
portfolio_company,올거나이즈,Allganize,올거나이즈,이창수 LLM,N/A,N/A,엔터프라이즈 AI/LLM 솔루션 기업. 기업용 AI 업무자동화 플랫폼 '알리(Alli)' 운영,A,Live
portfolio_company,알트에이,alt-a,알트에이,"이태우
라스트마일","이태원, 미쉐린, 중식맛집, 비건","교통안전, AI, 교통 솔루션, 스마트교통, 교통환경, 데이터, 스타트업, 이태우, 알트플러스, alt-plus, 알트세이프, 라스트마일, 엣지AI, CCTV",도로의 라스트 마일 구간에서 발생하는 교통안전 문제를 인공지능(AI) 기술로 해결하는 스마트 교통 솔루션 스타트업,B,Live
portfolio_company,엘리스헬스케어,AlyceHealth,엘리스헬스케어,강다겸 AI헬스케어,N/A,N/A,AI 모션 인식 기술을 기반으로 대기업 임직원 건강 관리(B2B)와 미국 원격 치료 모니터링(RTM) 시장 선도,A,Exit
portfolio_company,아마다스,AMADAS,아마다스,박은민 스마트도어락,"다이빙, 웨트슈트, 땅콩, 농기계","도어락, 스마트홈, IoT, 문손잡이, 박은민, 스마트 도어락",문손잡이만 교체하면 자가 설치가 가능한 IoT 스마트 도어락,B,Written-off
portfolio_company,앰버로드,Amberroad,앰버로드,"임언호
AI",N/A,N/A,포스코 사내벤처 출신 제조 AI 솔루션 기업. 공정 최적화 AI '마이너 리포트(Miner Report)' 개발,A,Live
portfolio_company,아몬디,Amondy,아몬디,"강신영
헬스케어",,"아몬디케어, 강신영, 심리상담, 멘탈, 헬스케어, EHR",심리상담사들을 위한 전자건강기록 서비스인 아몬디케어를 운영하는 멘탈 헬스케어 스타트업,C,Written-off
portfolio_company,애니모카브랜즈,Animoca Brands,애니모카브랜즈,로비융 웹3,N/A,N/A,메타버스 플랫폼 '더 샌드박스'를 비롯해 600개 이상의 블록체인 및 AI 기업에 투자·육성하며 디지털 자산 소유권을 확립해 나가는 글로벌 웹3 지주회사,A,Live
portfolio_company,아라블,Arable Labs,아라블,짐 에싱턴 기후테크,,"IoT센서, 기후테크, 농업, AI, 농지 데이터, 짐 에싱턴",올인원 IoT 센서로 농지 데이터를 실시간 수집·분석하여 농업의 생산성을 높이고 수자원을 최적화하는 AI 기후 테크 플랫폼,B,Live
portfolio_company,아티팩츠,ARTIFACTS,아티팩츠,"박원재
크리에이티브테크",,"디지털 아트, 디지털 아트플랫폼, AI, 박원재",아티스트와 창작자를 위한 AI 기반 기술 플랫폼 '아티팩츠',B,Written-off
portfolio_company,아시안보스,ASIAN BOSS,아시안보스,스티븐박 저널리즘,N/A,N/A,글로벌 시민 저널리즘 뉴스 미디어. 거리 인터뷰 콘텐츠로 아시아·세계를 연결하는 유튜브 미디어,A,Live
portfolio_company,아스타,Astar,아스타,"이재원
마케팅
AI",,"디지털 콘텐츠 마케팅, AI 크리에이터 엔진, AVICA, 브랜드 마케팅 솔루션",AI 디지털 콘텐츠 마케팅 기업. AI 크리에이터 엔진 'AVICA' 기반 브랜드 마케팅 솔루션,C,Live
portfolio_company,증강지능,Augmented Knowledge Corp,증강지능,조근식 항공정비,,"VR, SaaS, 학습, AI, 디지털 트윈, 항공 정비,  가상 교육, AK VIEW, 조근식",고가의 VR 장비 없이 웹(SaaS) 기반으로 시공간 제약 없이 학습 가능한 AI 및 디지털 트윈 융합 항공정비 몰입형 가상 교육 솔루션(AK VIEW),C,Live
portfolio_company,액스,AX,액스,"오연주
여행",,"현지 여행사, 여행상품 퍼블리싱, 예약관리",전세계 현지 여행사를 위해 여행상품 퍼블리싱과 예약관리 솔루션을 개발하는 스타트업,C,Live
portfolio_company,바벨탑,Babeltop,바벨탑,조은별 통번역,,"온디맨드, 통번역, 매칭, 조은별, 빅데이터, 언어",온디맨드 전문 통번역 매칭 플랫폼 스타트업,C,Written-off
portfolio_company,배젠,Baegen,배젠,배준 COPD신약,N/A,N/A,"바이오/의료 벤처기업, 한의학 처방을 과학적으로 분석하여 만성질환 합성신약 개발",A,Live
portfolio_company,발란,Balaan,발란,최형록 명품커머스,N/A,N/A,명품 커머스 플랫폼,A,Written-off
portfolio_company,비마이프렌즈,Be my friends,비마이프렌즈,서우석 팬덤,N/A,N/A,K팝 등 글로벌 팬덤 비즈니스 플랫폼 '비스테이지(b.stage)' 운영 (위버스 개발진 출신 창업),A,Exit
portfolio_company,비스트플래닛,Beast Planet,비스트플래닛,조천희 일렉트로복싱,N/A,N/A,클럽 음악과 조명 속에서 즐기는 국내 최초의 클럽형 일렉트로 복싱 스튜디오,A,Written-off
portfolio_company,베러먼데이코리아,Better Monday Korea,베러먼데이코리아,도경백 라이프스타일,N/A,N/A,F&B·라이프스타일 플랫폼 기업. 커피 프랜차이즈 '베러먼데이커피' 및 친환경 커머스 '비베러' 운영,A,Live
portfolio_company,빌리오,Billyo,빌리오,안준혁 공간예약,N/A,N/A,콘텐츠 크리에이터 대상 촬영·연습 공간 예약 플랫폼,A,Written-off
portfolio_company,바이오메디쿠스,BIOMEDICUS,바이오메디쿠스,김민환 분자진단,,"분자진단, 체외진단, PCR, 의료기기",분자진단(Lab-on-a-Disc) 기술을 기반으로 감염병 등을 빠르고 간편하게 검사하는 체외진단 의료기기를 개발하는 바이오 기업,B,Live
portfolio_company,비트바이트,Bitbyte,비트바이트,"안서형
한택환 
키보드테마",,"이모티콘, 테마, 커스텀, 플레이키보드, 안서형, 키보드, 한택환, 앱테크","이모티콘·테마 커스텀 키보드 앱 '플레이키보드' 개발, 사용자가 광고 시청과 미션 수행으로 포인트를 적립하는 글로벌 앱테크 리워드 플랫폼 '돈이돼지'",B,Live
portfolio_company,비트센싱,Bitsensing,비트센싱,이재은 레이더,N/A,N/A,레이더 기술 기업. 자율주행·스마트시티용 4D 이미징 레이더 및 헬스케어 센싱 솔루션 개발,A,Exit
portfolio_company,블라블라이엔엠,blabla ENM,블라블라이엔엠,김영종 오디오커뮤니티,N/A,N/A,오디오 기반의 메타보이스 글로벌 커뮤니티 플랫폼 '블라블라(blabla)',A,Written-off
portfolio_company,블로코,BLOCKO,블로코,김원범 블록체인,N/A,N/A,블록체인 MSP(Managed Service Provider) 기업. 기업용 블록체인·NFT 플랫폼 구축 솔루션 '아르고' 제공,A,Live
portfolio_company,부톡,BOOTALK,부톡,이훈구 부동산,N/A,N/A,AI·빅데이터 기반 부동산 매물 추천·중개 플랫폼 (서울대 공간정보연구실 출신),A,Live
portfolio_company,박스풀,Boxful,박스풀,"성정학
창고",,"무인 관리, 데이터, 공유창고, 풀필먼트, 성정학, Boxful, 셀프스토리지",IoT 기반의 무인 관리 시스템과 데이터 기술을 활용한 공유창고(셀프스토리지) 및 풀필먼트 서비스,C,Live
portfolio_company,부루구루,BREWGURU,부루구루,박상재 하이볼,N/A,N/A,데이터 기반 RTD 주류 및 생과일 하이볼을 개발·생산하는 푸드테크 기업,A,Live
portfolio_company,브링코,Brinko,브링코,김태환 역직구,N/A,N/A,해외 교민 대상 한국상품 역직구(구매대행) 플랫폼,A,Live
