company_name,company_name_clean,company_name_eng,sector,original_status,category
㈜원데이원송,원데이원송,1Day1Song,,,Live
㈜왓섭,왓섭,Whatssub,Data Analytics,Live,Live
1. 2023 12억 이후 2024년 8억 매출 감소 / 하반기 대규모 온프라미스 영업불발 / SK 텔레콤 이외 온프라미스 12월 발주 예정이었으나,1. 2023 12억 이후 2024년 8억 매출 감소 / 하반기 대규모 온프라미스 영업불발 / SK 텔레콤 이외 온프라미스 12월 발주 예정이었으나,계엄 이후 계약 연기,,,Live
2. 이후 올해 9월 IPO 예정이었으나 잠점 연기 / 이외 굵직한 대기업향 온프라미스 오퍼레이팅은 정국 안정화 이후에나 진행 가능,2. 이후 올해 9월 IPO 예정이었으나 잠점 연기 / 이외 굵직한 대기업향 온프라미스 오퍼레이팅은 정국 안정화 이후에나 진행 가능,,,,Live
3. 올해 온프라미스 20억 / 2025F 전체 매출 150억 / 2025F 영업이익 15억~20억 / SK 온프라미스가 90% 이상,3. 올해 온프라미스 20억 / 2025F 전체 매출 150억 / 2025F 영업이익 15억~20억 / SK 온프라미스가 90% 이상,,,,Live
4. 도쿄도 법인 설립 시 1억엔 지원 프로그램 / 은행향으로 키라보시 은행이 파트너 / 큐비트시큐리티 100% 출자 자회사로 진행,4. 도쿄도 법인 설립 시 1억엔 지원 프로그램 / 은행향으로 키라보시 은행이 파트너 / 큐비트시큐리티 100% 출자 자회사로 진행,,,,Live
5. groove AI / 실리콘밸리 정보보안 벤처캐피털 > 미국 교두보,5. groove AI / 실리콘밸리 정보보안 벤처캐피털 > 미국 교두보,,,,Live
6. 컴퍼니K 500억 구주밸류 레코드 있음,6. 컴퍼니K 500억 구주밸류 레코드 있음,,,,Live
7. 스케일업 팁스 지원받는중,7. 스케일업 팁스 지원받는중,https://slab.sparkerp.co.kr/onboarding?cpn=1741833796337x998625631514254300,,,Live
펄스나인㈜,펄스나인,Pulse9,Entertainment/Media/Sports,Live,Live
- 인라이트에서는 담당자 미스매치로 관심 밖에 방치됨,- 인라이트에서는 담당자 미스매치로 관심 밖에 방치됨,,,,Live
- CES 등 박람회 꾸준히 참여하고,- CES 등 박람회 꾸준히 참여하고,실리콘밸리에서도 반응이 좋았으나 영업에 속도는 내지 못함,,,Live
- 스파크랩 데모데이 티켓이 남아있음,- 스파크랩 데모데이 티켓이 남아있음,,,,Live
- 디바이스의 정확도 및 완성도는 안정화가 됐으나,- 디바이스의 정확도 및 완성도는 안정화가 됐으나,지속적인 인원 감축으로 마케팅 팀이 없으며,,,Live
- 빠르면 2025년 11월 투자자금 조달 가능성 시사 / 대상 그룹 CVC인 유티씨인베스트먼트로부터 높은 투자가능성 언급 / 대상웰라이프 네트웍 활용,- 빠르면 2025년 11월 투자자금 조달 가능성 시사 / 대상 그룹 CVC인 유티씨인베스트먼트로부터 높은 투자가능성 언급 / 대상웰라이프 네트웍 활용,,,,Live
- 마케팅과 영업의 포지셔닝을 잡는데 대표님 스스로도 어색한 고민이 많으며 2년 이상 지속 중,- 마케팅과 영업의 포지셔닝을 잡는데 대표님 스스로도 어색한 고민이 많으며 2년 이상 지속 중,https://slab.sparkerp.co.kr/onboarding?cpn=1741833796276x498231836819404740,,,Live
㈜오마이어스,오마이어스,Oh My Earth,Cleantech/ESG/Sustainability,Live,Live
- 2025 가이던스 350억,- 2025 가이던스 350억,BEP 200억,,,Live
- 중국시장 공략 고민 >>> 탑라인 반영 가이던스인가,- 중국시장 공략 고민 >>> 탑라인 반영 가이던스인가,,,,Live
- KitBetter 인력을 미국으로 파견 / KitBetter만 미국법인 상장 시사,- KitBetter 인력을 미국으로 파견 / KitBetter만 미국법인 상장 시사,,,,Live
- 유통수수료 일반적으로 유통사에 35% 뗴주고 65% 매출 인식 / YG Plus의 경우 유통 수수로 100을 떼줌 > 올해 유독 높은 유통수수료 원인,- 유통수수료 일반적으로 유통사에 35% 뗴주고 65% 매출 인식 / YG Plus의 경우 유통 수수로 100을 떼줌 > 올해 유독 높은 유통수수료 원인,,,,Live
"- 단순 빌보드 시장 안에서 숫자를 만드는 플레이어는 되지 않을 것이라는 의지 표방 / """"Kit"""" 로 찍혀야 함","- 단순 빌보드 시장 안에서 숫자를 만드는 플레이어는 되지 않을 것이라는 의지 표방 / """"Kit"""" 로 찍혀야 함",,,,Live
- 주관사 선정 신중하게 고려 중 / Pre IPO 라운드는 주관사 선정 이후 진행할 것,- 주관사 선정 신중하게 고려 중 / Pre IPO 라운드는 주관사 선정 이후 진행할 것,,,,Live
- 목표 Pre IPO 밸류 2,- 목표 Pre IPO 밸류 2,600억 / 대표님 본인도 쉽지 않을 밸류일 것임을 인식,,,Live
모비두㈜,모비두,Mobidoo,Software as a Service(SaaS),Live,Live
㈜마켓디자이너스,마켓디자이너스,Market Designers,Education/Edutech,Live,Live
㈜러브바드,러브바드,LovBod,,,Live
아이리스코퍼레이션㈜,아이리스코퍼레이션,Iris Corp,,,Live
에이치디메디,에이치디메디,HDMedi,Pharmaceutical,Live,Live
㈜핸들,핸들,Handle (Carmerce),Transportation/Logistics/Supply Chain,Live,Live
폴슨㈜,폴슨,Folsn,eCommerce/Marketplace,Live,Live
