카테고리,기업명(한글),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
portfolio_company_gv,,Deserve,Deserve,"Deserve Inc, Deserve card, Kalpesh Kapadia","deserve better, deserves, well deserved, deserve it, richly deserved","credit card, card issuing, white label card, co-branded card, fintech, machine learning credit, alternative data, Kalpesh Kapadia",머신러닝·대체데이터 기반 디지털 신용카드 솔루션. 금융기관·핀테크·브랜드에 화이트라벨/코브랜드 카드 프로그램 제공.,B,Live
portfolio_company_gv,,OpenSea,OpenSea,"OpenSea NFT, Devin Finzer, OpenSea Pro, Dharma Labs","open sea shipping, open seas, on the open sea, open-sea fishing",,세계 최대 NFT 마켓플레이스. 2022년 1월 Dharma Labs 인수로 GV가 주주가 됨(2017년 Dharma 시드 투자).,B,Live
portfolio_company_gv,,Animoca Brands,Animoca Brands,"Animoca, Yat Siu, The Sandbox, SAND token, REVV token, Mocaverse",,,"블록체인 게임·NFT·게이미피케이션 기업. The Sandbox, Crazy Kings 등 개발. FT 아시아태평양 고성장기업 2021 선정. 홍콩 본사.",B,Live
portfolio_company_gv,,Genies,Genies,"Genies avatar, Akash Nigam, Evan Rosenbaum","genies of, magic genie, genie in a bottle, Genie AWS, Aladdin","avatar, digital avatar, media technology, social network, Akash Nigam, celebrity avatar",개인 아바타를 통해 시의성 있는 정보를 전달하는 미디어·기술 기업. 팔로알토 소재. ※ GV 사이트는 이 회사를 옛 'blend' 슬러그/폴더에 그대로 올려둬서 파일명에만 Blend가 남아 있다(로고 이미지 내용은 Genies).,B,Live
portfolio_company_gv,,Happy Money,Happy Money,"HappyMoney, Payoff, Happy Money Score, Happy Money loan","happy money spell, happy with money, happy-money quote","fintech, personal loan, credit card debt, lending, financial wellness, psychology of money, Payoff",심리학과 금융을 결합한 소비자 금융사. Joy·Payoff·Happy Money Score 3개 서비스 운영. 캘리포니아 코스타메사 소재.,B,Live
portfolio_company_gv,,Messari,Messari,"Messari crypto, Ryan Selkis, Messari Mainnet",,,"디지털자산 시장 인텔리전스 기업. 크립토 리서치·데이터 도구 제공. 2017년 설립, 뉴욕 소재.",B,Live
portfolio_company_gv,,Aire,Aire,"Aire credit, Aire.io, Aneesh Varma, Aire credit insight","River Aire, Aire Valley, Buenos Aires, aire acondicionado, Aire Ancienne, Leeds Aire","credit score, alternative credit, thin file, credit insight, lending, fintech, Aneesh Varma, underwriting",대체 신용평가 기업. 금융이력 부족자(thin-file)를 위한 소비자 동의 기반 알고리즘 신용평가. 영국 런던 소재.,B,Live
portfolio_company_gv,,Andela,Andela,"Andela developers, Jeremy Johnson Andela, Christina Sass","Gwen Andela, Andela Fish",,글로벌 개발자 인재 액셀러레이터. 아프리카 인재를 훈련·멘토링해 전 세계 기업의 원격 개발자로 연결. 뉴욕·라고스 소재.,B,Live
portfolio_company_gv,,Castle,Castle.io,"Castle Intelligence, castle.io, Johan Brissmyr, Castle account security","Castle Rock, Windsor Castle, medieval castle, sandcastle, Castle TV, Edinburgh Castle, White Castle, Castle Bravo","account takeover, fraud detection, bot detection, login security, credential stuffing, SaaS security, Johan Brissmyr",온라인 서비스의 계정 탈취·부정 로그인 차단 솔루션. 디바이스 특성·키스트로크 등 수백 개 속성으로 사용자 위험도 스코어링. 스웨덴 말뫼 소재.,B,Live
portfolio_company_gv,,Populus,Populus,"Populus.ai, Populus mobility, Regina Clewlow, Fletcher Foti","Populus tree, Populus tremula, Populus genus, populus romanus","mobility data, transportation analytics, curb management, micromobility, scooter share, city planning, Regina Clewlow",모빌리티 데이터 관리·분석 스타트업. 라이드셰어·스쿠터·자전거·교통·대중교통 데이터를 통합해 도시·교통 계획자에게 인사이트 제공.,B,Live
portfolio_company_gv,,88rising,88rising,"88rising label, Sean Miyashiro, Rich Brian, NIKI, Joji",,,아시아 밀레니얼 대상 레코드 레이블·매니지먼트·디지털 콘텐츠 제작사. 뉴욕 소재.,B,Live
portfolio_company_gv,,Gideon Brothers,Gideon Brothers,"Gideon Bros, Gideon.ai, Gideon robotics, Matija Kopic, Kruno Strazanac","Gideon Bible, Gideons International, Gideon trumpet, Operation Gideon",,"실내 산업 환경용 자율주행 모바일 로봇 개발. 중·동남유럽 최대 로보틱스 엔지니어링 기업. 2017년 설립, 크로아티아 자그레브 소재.",B,Live
portfolio_company_gv,,Nitra,Nitra,"Nitra health, Nitra card, Nitra fintech","nitra pharma, Nitra Sri Lanka",,의료업계 특화 핀테크. 의사·병원의 진료 프로세스에 통합되는 금융·소프트웨어 솔루션 제공. 뉴욕 소재.,B,Live
portfolio_company_gv,,Vectara,Vectara,"Vectara AI, Vectara RAG, Amr Awadallah, Vectara search",,,제너레이티브 AI 임베딩 플랫폼. 하이브리드 검색 기반 RAG로 대화형 AI·QA·시맨틱 검색 제공. 실리콘밸리 소재.,B,Live
portfolio_company_gv,,Transcelestial,Transcelestial,"Transcelestial CENTAURI, Rohit Jha, Transcelestial laser",,,우주 레이저 통신 네트워크 구축. 지상용 '무선 광섬유' 제품 CENTAURI 상용화. 싱가포르 소재.,B,Live
portfolio_company_gv,,MicroSec,MicroSec,"Microsec IoT, usec.io, MicroSec cybersecurity","Microsec Hungary, Microsec e-Szigno",,산업·기업·정부용 차세대 IoT 사이버보안. Security-by-Design으로 OEM·SI와 협력해 기기·인프라에 보안 내장. 싱가포르 소재.,B,Live
portfolio_company_gv,,ClauseMatch,ClauseMatch,"Clause Match, Evgeny Likhoded, ClauseMatch regtech",,,계약·정책 문서 협상·관리 클라우드 플랫폼(레그테크). 규제 준수 정책 관리로 확장. 영국 런던 소재.,B,Live
portfolio_company_gv,,Code Kingdoms,Code Kingdoms,"CodeKingdoms, Code Kingdoms Roblox, Code Kingdoms Minecraft",,,어린이 코딩·컴퓨터과학 교육. 아이들이 실제 자바스크립트로 게임 레벨을 만들며 코딩을 배움. 영국 런던 소재.,B,Live
portfolio_company_gv,,Cutover,Cutover,"Cutover platform, Godesic, Ky Nichol, Cutover runbook","cutover date, cutover plan, migration cutover, cutover weekend, system cutover, go-live cutover","work orchestration, release management, incident management, disaster recovery, enterprise runbook, IT change management, Ky Nichol",대규모 팀의 복잡한 이벤트(릴리즈·장애·재해복구) 계획·리허설·실행 플랫폼. Godesic이 개발. 영국 런던 소재.,B,Live
portfolio_company_gv,씨웨이브소프트,CwaveSoft,CwaveSoft,"씨웨이브소프트, Cwave Soft, Hyper Universe, 하이퍼유니버스",,,넥슨 전 본부장이 창업한 온라인 게임사. AOS 게임 'Hyper Universe' 개발. 서울 소재.,B,Live
portfolio_company_gv,,DocDoc,DocDoc,"DocDoc.com, Cole Sirucek, Grace Park DocDoc","doc doc goose, Doc Doc Bangkok",,"아시아태평양 환자-의사 연결 서비스. 의사·치과의사 검색, 전문분야·학력 검증, 예약 제공. 싱가포르 소재.",B,Live
portfolio_company_gv,,DoubleMe,DoubleMe,"DoubleMe HoloPortal, HoloPortal, Albert Kim DoubleMe, TWIN world",,,홀로그래픽 VR 콘텐츠(HVC) 기술. 볼류메트릭 메시·실제 텍스처·동작을 보존한 3D 캡처. 캘리포니아 산호세 소재.,B,Live
portfolio_company_gv,이베인,Evain,Evain,"이베인, 뭐야이번호, What's this number, evain.co.kr",,,"국내 최초 전화번호 식별 앱 '뭐야이번호' 운영. 집단지성 기반 스팸 필터링. 2012년 8월 출시, 2014년 12월 기준 누적 700만 다운로드. 서울 소재.",B,Live
portfolio_company_gv,,Flow State Media,Flow State Media,"FlowState Media, Letter UP, flowstatemedia.com","flow state of mind, cash flow, workflow, flow battery, blood flow, traffic flow, Flow blockchain, Flow NFT","mobile gaming, multiplayer game, word game, Letter UP, live mobile game, MIT Zynga, game studio",라이브 모바일 멀티플레이 게임사(MIT·Zynga 출신). 워드게임 'Letter UP'이 출시 5일 만에 13개국 앱스토어 워드게임 1위. 캘리포니아 벌링게임 소재.,B,Live
portfolio_company_gv,제노플랜,Genoplan,Genoplan,"제노플랜, Genoplan DNA, genoplan.com",,,유전자 기반 체중관리 솔루션. 타액으로 유전 특성을 분석해 개인화된 체중관리 제공. 서울 소재.,B,Live
portfolio_company_gv,,Gust Pay,Gust Pay,"GustPay, gustpay.com, Gust Pay mobile payment","gust of wind, wind gust, gusty, Gust.com startup, Gust angel",,"모바일 커머스·결제 앱. 이름 두 번 탭으로 결제, 위치 서비스·POS·이벤트 인텔리전스 제공. 런던(스텔렌보스 기반) 소재.",B,Live
portfolio_company_gv,H2O호스피탈리티,H2O Hospitality,H2O Hospitality,"H2O호스피탈리티, H2O Hospitality PMS, h2ohospitality.io","H2O molecule, H2O band, H2O audio, H2O Wireless, H2O Plus",,일본·한국 최대 숙박시설 위탁운영사. PMS로 게스트·객실·하우스키퍼 일정을 연동해 무인 운영. 도쿄 소재.,B,Live
